Pagina,Patron_Censura,Texto_Detectado,Contexto_60chars,Personas_en_Pagina
939,\b[jJ]ane\s+[dD]oe\b,Jane Doe,co-conspirators coerced dozens of other children including Jane Doe #1 and Jane Doe #2. When Jane Doe #3 began giving Epstein a,Ghislaine Maxwell
939,\b[jJ]ane\s+[dD]oe\b,Jane Doe,"coerced dozens of other children including Jane Doe #1 and Jane Doe #2. When Jane Doe #3 began giving Epstein a massage, Epstei",Ghislaine Maxwell
939,\b[jJ]ane\s+[dD]oe\b,Jane Doe,"other children including Jane Doe #1 and Jane Doe #2. When Jane Doe #3 began giving Epstein a massage, Epstein and Maxwell turn",Ghislaine Maxwell
939,\b[jJ]ane\s+[dD]oe\b,Jane Doe,"with many other victims. Epstein the n became enamored with Jane Doe #3, and with the assistance of Maxwell converted her into w",Ghislaine Maxwell
939,\b[jJ]ane\s+[dD]oe\b,Jane Doe,"o what is commonly referred to as a sex slave. Epstein kept Jane Doe #3 as his sex slave from about 1999 through 2002, when she",Ghislaine Maxwell
939,\b[jJ]ane\s+[dD]oe\b,Jane Doe,"From 1999 through 2002, Epstein frequently sexually abused Jane Doe #3, not only in West Palm Beach, but also in New York, New",Ghislaine Maxwell
939,\b[jJ]ane\s+[dD]oe\b,Jane Doe,"elsewhere. Epstein also sexually trafficked the then-minor Jane Doe, making her available for sex to politically-connected and",Ghislaine Maxwell
939,\b[jJ]ane\s+[dD]oe\b,Jane Doe,d financially-powerful people. Epsteins purposes in lending Jane Doe Case 9:08-cv-80736-KAM Document 279 Entered on FLSD Docket,Ghislaine Maxwell
940,\b[jJ]ane\s+[dD]oe\b,Jane Doe,One such powerful individual that Epstein forced then-minor Jane Doe #3 to have sexual relations with was former Harvard Law Pro,Ghislaine Maxwell; Alan Dershowitz
940,\b[jJ]ane\s+[dD]oe\b,Jane Doe,and well-known criminal defense attorney. Epstein required Jane Doe #3 to have sexual relations with Dershowitz on numerous occ,Ghislaine Maxwell; Alan Dershowitz
940,\b[jJ]ane\s+[dD]oe\b,Jane Doe,"Islands. In addition to being a participant in the abuse of Jane Doe #3 and other minors, Deshowitz was an eye-witness to the se",Ghislaine Maxwell; Alan Dershowitz
940,\b[jJ]ane\s+[dD]oe\b,Jane Doe,ai nst criminal prosecution in Florida for sexually abusing Jane Doe #3. Because this broad immunity would have been controversi,Ghislaine Maxwell; Alan Dershowitz
941,\b[jJ]ane\s+[dD]oe\b,Jane Doe,"5 sexual abuse of Jane Doe #3 and others, Maxwell also took numerous sexually explicit",Prince Andrew
941,\b[jJ]ane\s+[dD]oe\b,Jane Doe,"of underage girls involved in sexual activities, including Jane Doe #3. She shared these photographs which constituted child po",Prince Andrew
941,\b[jJ]ane\s+[dD]oe\b,Jane Doe,". For instance, one such powerful individual Epstein forced Jane Doe #3 to have sexual relations with was a member of the Britis",Prince Andrew
941,\b[jJ]ane\s+[dD]oe\b,Jane Doe,"the British Ro yal Family, Prince Andrew aka Duke of York. Jane Doe #3 was forced to have sexual relations with this Prince whe",Prince Andrew
941,\b[jJ]ane\s+[dD]oe\b,Jane Doe,gy with numerous other under-aged girls. Epstein instructed Jane Doe #3 that she was to give the Prince whatever he demanded and,Prince Andrew
941,\b[jJ]ane\s+[dD]oe\b,Jane Doe,he was to give the Prince whatever he demanded and required Jane Doe #3 to report back to him on the details of the sexual abuse,Prince Andrew
941,\b[jJ]ane\s+[dD]oe\b,Jane Doe,"r Epstein, thereby assisting in internationally trafficking Jane Doe #3 and numerous other young girls for sexual purposes. Anot",Prince Andrew
941,\b[jJ]ane\s+[dD]oe\b,Jane Doe,ive effort is Jean Luc Brunel. Epst ein sexually trafficked Jane Doe #3 to Jean Luc Brunel many times. Brunel was another of Ep,Prince Andrew
