Pagina,Palabras,Menciones_Censuradas_REDACTED,Evasiones_Detectadas,Tipos_Evasion,Indicador_Positivo,Indicador_Negativo,Indice_Sentimiento,Clasificacion_Sentimiento,Hits_Propiedades,Hits_Aviones_Logistica,Hits_Abuso_Menores,Hits_Ambito_Legal,Tema_Dominante,Años_Mencionados,Personas_Presentes,Personas_Count,Fuente
1858,109,0,0,,2,0,1.0,Positivo,0,0,0,1,Ámbito Legal,2016,Ghislaine Maxwell; Johanna Sjoberg,2,TXT Consolidado
1859,225,0,0,,1,0,1.0,Positivo,2,0,0,0,Propiedades,2001,Ghislaine Maxwell,1,TXT Consolidado
1860,225,0,0,,1,0,1.0,Positivo,1,0,0,0,Propiedades,,,0,TXT Consolidado
1861,218,0,0,,1,0,1.0,Positivo,0,0,1,0,Abuso / Menores,,,0,TXT Consolidado
1862,199,0,1,Objection,1,0,1.0,Positivo,0,0,5,0,Abuso / Menores,,,0,TXT Consolidado
1863,243,0,0,,1,0,1.0,Positivo,0,0,0,0,Sin tema dominante,,,0,TXT Consolidado
1864,237,0,0,,1,0,1.0,Positivo,0,0,0,0,Sin tema dominante,,Prince Andrew,1,TXT Consolidado
1865,208,0,0,,1,0,1.0,Positivo,0,0,0,0,Sin tema dominante,,,0,TXT Consolidado
1866,195,0,0,,1,0,1.0,Positivo,0,0,3,0,Abuso / Menores,,,0,TXT Consolidado
1867,167,0,4,Objection,1,0,1.0,Positivo,0,0,0,4,Ámbito Legal,2001; 2006,,0,TXT Consolidado
1868,176,0,4,Objection,1,0,1.0,Positivo,0,0,0,3,Ámbito Legal,,,0,TXT Consolidado
1869,213,0,2,Objection,1,1,0.0,Neutral / Procedimental,0,0,0,0,Sin tema dominante,,,0,TXT Consolidado
1870,189,0,3,Objection,1,0,1.0,Positivo,0,0,0,1,Ámbito Legal,,,0,TXT Consolidado
1871,210,0,2,Objection,1,0,1.0,Positivo,0,0,1,2,Ámbito Legal,,,0,TXT Consolidado
1872,195,0,1,Objection,2,0,1.0,Positivo,0,0,0,1,Ámbito Legal,,,0,TXT Consolidado
1873,182,0,2,Objection,1,0,1.0,Positivo,0,0,0,2,Ámbito Legal,,,0,TXT Consolidado
1874,177,0,2,Objection,1,1,0.0,Neutral / Procedimental,0,0,1,2,Ámbito Legal,,,0,TXT Consolidado
1875,185,4,1,Objection,1,0,1.0,Positivo,1,0,0,1,Propiedades,,Jeffrey Epstein; Ghislaine Maxwell,2,TXT Consolidado
1876,226,1,1,Don't know,1,0,1.0,Positivo,0,0,0,0,Sin tema dominante,,,0,TXT Consolidado
1877,169,0,2,Objection,1,0,1.0,Positivo,0,0,0,3,Ámbito Legal,,,0,TXT Consolidado
1878,173,0,0,,1,0,1.0,Positivo,1,0,1,0,Propiedades,,Jeffrey Epstein,1,TXT Consolidado
1879,228,0,0,,1,0,1.0,Positivo,0,0,0,0,Sin tema dominante,,,0,TXT Consolidado
1880,175,0,2,Objection,1,0,1.0,Positivo,0,0,2,2,Abuso / Menores,,,0,TXT Consolidado
1881,173,0,2,Objection,1,0,1.0,Positivo,0,0,2,2,Abuso / Menores,,,0,TXT Consolidado
1882,222,0,1,Objection,1,1,0.0,Neutral / Procedimental,0,0,0,1,Ámbito Legal,,,0,TXT Consolidado
1883,208,0,1,Objection,1,1,0.0,Neutral / Procedimental,0,0,0,1,Ámbito Legal,,,0,TXT Consolidado
1884,191,0,1,Objection,1,0,1.0,Positivo,0,0,0,1,Ámbito Legal,2002,Ghislaine Maxwell,1,TXT Consolidado
1885,221,0,1,Objection,1,0,1.0,Positivo,0,0,1,1,Abuso / Menores,,,0,TXT Consolidado
1886,196,0,1,Objection,1,0,1.0,Positivo,0,0,0,1,Ámbito Legal,,,0,TXT Consolidado
1887,214,0,3,Objection,1,1,0.0,Neutral / Procedimental,0,0,0,3,Ámbito Legal,,,0,TXT Consolidado
1888,186,0,1,Objection,1,0,1.0,Positivo,0,0,0,0,Sin tema dominante,,,0,TXT Consolidado
1889,219,0,0,,1,0,1.0,Positivo,0,0,0,0,Sin tema dominante,2003; 2004; 2005; 2006,,0,TXT Consolidado
1890,206,0,1,Objection,1,0,1.0,Positivo,0,0,0,0,Sin tema dominante,,,0,TXT Consolidado
1891,173,0,0,,2,0,1.0,Positivo,0,0,0,6,Ámbito Legal,2016,Johanna Sjoberg,1,TXT Consolidado
1892,20,0,0,,0,0,0.0,Neutral,0,0,0,1,Ámbito Legal,,,0,TXT Consolidado
1893,107,1,0,,1,0,1.0,Positivo,3,0,0,1,Propiedades,2009,Jeffrey Epstein,1,TXT Consolidado
1894,925,0,0,,1,0,1.0,Positivo,1,0,0,0,Propiedades,2004; 2009,Ghislaine Maxwell,1,TXT Consolidado
1895,792,0,0,,1,0,1.0,Positivo,1,0,0,0,Propiedades,2004; 2009,Ghislaine Maxwell,1,TXT Consolidado
1896,796,0,0,,1,4,-0.6,Altamente Negativo,1,0,3,6,Ámbito Legal,2004; 2005; 2009,Ghislaine Maxwell,1,TXT Consolidado
1897,848,0,0,,1,1,0.0,Neutral / Procedimental,2,0,0,4,Ámbito Legal,2006; 2009,Jeffrey Epstein; Ghislaine Maxwell,2,TXT Consolidado
1898,803,0,2,Don't know,1,0,1.0,Positivo,2,0,0,4,Ámbito Legal,2004; 2005; 2006; 2009,Jeffrey Epstein; Ghislaine Maxwell,2,TXT Consolidado
1899,785,0,0,,1,0,1.0,Positivo,1,0,1,0,Propiedades,2009,,0,TXT Consolidado
1900,349,0,0,,3,0,1.0,Positivo,3,0,0,5,Ámbito Legal,2009,,0,TXT Consolidado
1901,20,0,0,,0,0,0.0,Neutral,0,0,0,1,Ámbito Legal,,,0,TXT Consolidado
1902,111,0,0,,2,0,1.0,Positivo,0,0,0,1,Ámbito Legal,2016,Ghislaine Maxwell,1,TXT Consolidado
1903,191,0,1,Objection,1,1,0.0,Neutral / Procedimental,0,0,0,2,Ámbito Legal,,,0,TXT Consolidado
1904,197,0,0,,1,1,0.0,Neutral / Procedimental,0,0,0,0,Sin tema dominante,1995; 2000; 2013,Ghislaine Maxwell,1,TXT Consolidado
1905,179,0,1,Objection,1,1,0.0,Neutral / Procedimental,2,0,0,0,Propiedades,,Jeffrey Epstein; Ghislaine Maxwell,2,TXT Consolidado
1906,195,0,0,,1,0,1.0,Positivo,1,0,0,1,Propiedades,,,0,TXT Consolidado
1907,200,0,0,,1,0,1.0,Positivo,0,0,0,7,Ámbito Legal,,,0,TXT Consolidado
1908,20,0,0,,0,0,0.0,Neutral,0,0,0,1,Ámbito Legal,,,0,TXT Consolidado
1909,448,3,0,,0,0,0.0,Neutral,7,0,0,4,Propiedades,2010,Jeffrey Epstein,1,TXT Consolidado
1910,745,0,16,Fifth Amendment,0,1,-1.0,Altamente Negativo,2,0,0,25,Ámbito Legal,,Jeffrey Epstein; Ghislaine Maxwell,2,TXT Consolidado
1911,780,0,19,Objection; Fifth Amendment,0,2,-1.0,Altamente Negativo,0,0,2,16,Ámbito Legal,,Jeffrey Epstein; Ghislaine Maxwell; Jean-Luc Brunel,3,TXT Consolidado
1912,687,0,18,Objection; Fifth Amendment,1,2,-0.333,Altamente Negativo,0,0,1,17,Ámbito Legal,,Jeffrey Epstein; Ghislaine Maxwell; Jean-Luc Brunel,3,TXT Consolidado
1913,719,0,5,Objection; Fifth Amendment,1,0,1.0,Positivo,5,0,0,14,Ámbito Legal,,,0,TXT Consolidado
1914,20,0,0,,0,0,0.0,Neutral,0,0,0,1,Ámbito Legal,,,0,TXT Consolidado
1915,92,0,0,,2,0,1.0,Positivo,0,0,0,1,Ámbito Legal,2010,Jeffrey Epstein,1,TXT Consolidado
1916,761,0,0,,2,6,-0.5,Altamente Negativo,0,0,14,0,Abuso / Menores,2002; 2005,Jeffrey Epstein; Ghislaine Maxwell,2,TXT Consolidado
1917,744,0,0,,2,4,-0.333,Altamente Negativo,0,0,27,1,Abuso / Menores,,Jeffrey Epstein,1,TXT Consolidado
1918,718,0,0,,2,6,-0.5,Altamente Negativo,0,0,14,1,Abuso / Menores,,Jeffrey Epstein,1,TXT Consolidado
1919,741,6,0,,3,6,-0.333,Altamente Negativo,0,0,10,0,Abuso / Menores,,Jeffrey Epstein; Ghislaine Maxwell; Leslie Wexner,3,TXT Consolidado
